company,label,url,enabled
삼성물산,공식 홈페이지,https://www.secc.co.kr,True
삼성물산,채용,https://www.secc.co.kr/kr/recruit/recruitMain.do,True
삼성물산,사업소개,https://www.secc.co.kr/kr/business/building.do,True
,,,
현대건설,공식 홈페이지,https://www.hdec.kr,True
현대건설,인재상,https://www.hdec.kr/kr/career/talent01.aspx,True
현대건설,비전,https://www.hdec.kr/kr/company/vision.aspx,True
현대건설,사업소개,https://www.hdec.kr/kr/business/business01.aspx,True
,,,
대우건설,공식 홈페이지,https://www.daewooenc.com,True
대우건설,채용,https://recruit.daewooenc.com,True
대우건설,사업소개,https://www.daewooenc.com/company/business.do,True
,,,
DL이앤씨,공식 홈페이지,https://www.dlenc.co.kr,True
DL이앤씨,채용,https://recruit.dlenc.co.kr,True
DL이앤씨,사업소개,https://www.dlenc.co.kr/business/intro,True
,,,
GS건설,공식 홈페이지,https://www.gsenc.com,True
GS건설,채용,https://recruit.gsenc.com,True
GS건설,사업소개,https://www.gsenc.com/business/business.aspx,True
,,,
포스코이앤씨,공식 홈페이지,https://www.poscoenc.com,True
포스코이앤씨,채용,https://recruit.poscoenc.com,True
포스코이앤씨,사업소개,https://www.poscoenc.com/ko/business/default.asp,True
,,,
롯데건설,공식 홈페이지,https://www.lottecon.co.kr,True
롯데건설,채용,https://recruit.lottecon.co.kr,True
롯데건설,사업소개,https://www.lottecon.co.kr/business/overview.do,True
,,,
SK에코플랜트,공식 홈페이지,https://www.skecoplant.com,True
SK에코플랜트,채용,https://recruit.skecoplant.com,True
SK에코플랜트,사업소개,https://www.skecoplant.com/front/business/overview,True
,,,
HDC현대산업개발,공식 홈페이지,https://www.hdc-dvp.com,True
HDC현대산업개발,채용,https://recruit.hdc-dvp.com,True
HDC현대산업개발,사업소개,https://www.hdc-dvp.com/business/main,True
,,,
호반건설,공식 홈페이지,https://www.hobancon.co.kr,True
호반건설,채용,https://recruit.hoban.co.kr,True
호반건설,사업소개,https://www.hobancon.co.kr/business/business01.do,True
,,,
한화 건설부문,공식 홈페이지,https://www.hwenc.co.kr,True
한화 건설부문,채용,https://www.hwenc.co.kr/ko/recruit/recruit.do,True
한화 건설부문,사업소개,https://www.hwenc.co.kr/ko/business/business.do,True
,,,
금호건설,공식 홈페이지,https://www.kumhoenc.com,True
금호건설,채용,https://www.kumhoenc.com/recruit/recruit.do,True
금호건설,사업소개,https://www.kumhoenc.com/business/architecture.do,True
,,,
코오롱글로벌,공식 홈페이지,https://www.kolonglobal.com,True
코오롱글로벌,채용,https://dream.kolon.com,True
코오롱글로벌,사업소개,https://www.kolonglobal.com/business/construction,True
,,,
태영건설,공식 홈페이지,https://www.taeyoung.com,True
태영건설,채용,https://www.taeyoung.com/recruit/recruitInfo.do,True
태영건설,사업소개,https://www.taeyoung.com/business/business01.do,True
,,,
계룡건설,공식 홈페이지,https://www.krcon.co.kr,True
계룡건설,채용,https://recruit.krcon.co.kr,True
계룡건설,사업소개,https://www.krcon.co.kr/business/architecture.do,True
,,,
동부건설,공식 홈페이지,https://www.dongbu.co.kr,True
